run_id,run_time_utc,note,variant,timeframe,symbol,segment,split,bars,span_days,trades,longs,shorts,win_rate_pct,avg_pnl_pct,avg_r,profit_factor,total_return_pct,max_drawdown_pct
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,BTCUSDT,IN_SAMPLE,2026-01-01,13121,546.7,13,0,13,61.5,0.098,0.112,1.18,-0.0,-0.13
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,BTCUSDT,OUT_OF_SAMPLE,2026-01-01,4192,174.6,5,0,5,40.0,-0.512,-0.29,0.57,-0.09,-0.17
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,ETHUSDT,IN_SAMPLE,2026-01-01,13121,546.7,21,0,21,61.9,0.645,0.355,1.81,0.34,-0.22
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,ETHUSDT,OUT_OF_SAMPLE,2026-01-01,4192,174.6,12,0,12,50.0,0.17,0.068,1.18,0.02,-0.29
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,SOLUSDT,IN_SAMPLE,2026-01-01,13120,546.6,24,0,24,66.7,0.614,0.279,1.89,0.37,-0.21
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,SOLUSDT,OUT_OF_SAMPLE,2026-01-01,4191,174.6,11,0,11,54.5,0.745,0.132,2.03,0.21,-0.22
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,BNBUSDT,IN_SAMPLE,2026-01-01,13120,546.6,5,0,5,60.0,0.025,0.32,1.02,-0.01,-0.14
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,BNBUSDT,OUT_OF_SAMPLE,2026-01-01,4191,174.6,9,0,9,33.3,0.126,-0.405,1.15,0.01,-0.2
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,XRPUSDT,IN_SAMPLE,2026-01-01,13120,546.6,26,0,26,61.5,0.271,0.344,1.27,0.13,-0.3
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,XRPUSDT,OUT_OF_SAMPLE,2026-01-01,4191,174.6,11,0,11,63.6,0.612,0.352,1.98,0.17,-0.17
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,DOGEUSDT,IN_SAMPLE,2026-01-01,13120,546.6,26,0,26,46.2,-0.264,-0.114,0.8,-0.28,-0.93
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,DOGEUSDT,OUT_OF_SAMPLE,2026-01-01,4191,174.6,12,0,12,50.0,-0.306,-0.086,0.72,-0.15,-0.29
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,AVAXUSDT,IN_SAMPLE,2026-01-01,13120,546.6,38,0,38,65.8,0.702,0.391,1.84,0.69,-0.31
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,1h,AVAXUSDT,OUT_OF_SAMPLE,2026-01-01,4191,174.6,12,0,12,58.3,0.195,0.047,1.22,0.03,-0.21
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,BTCUSDT,IN_SAMPLE,2026-01-01,3123,520.3,12,0,12,50.0,-0.079,-0.107,0.93,-0.06,-0.24
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,BTCUSDT,OUT_OF_SAMPLE,2026-01-01,1048,174.5,2,0,2,100.0,3.093,1.439,,0.18,-0.0
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,ETHUSDT,IN_SAMPLE,2026-01-01,3123,520.3,12,0,12,66.7,1.007,0.206,1.99,0.33,-0.13
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,ETHUSDT,OUT_OF_SAMPLE,2026-01-01,1048,174.5,5,0,5,60.0,0.939,0.25,1.82,0.13,-0.15
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,SOLUSDT,IN_SAMPLE,2026-01-01,3123,520.3,16,0,16,62.5,0.525,0.152,1.34,0.2,-0.25
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,SOLUSDT,OUT_OF_SAMPLE,2026-01-01,1048,174.5,2,0,2,50.0,-1.416,-0.296,0.28,-0.09,-0.12
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,BNBUSDT,IN_SAMPLE,2026-01-01,3123,520.3,3,0,3,0.0,-3.941,-1.042,0.0,-0.36,-0.36
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,BNBUSDT,OUT_OF_SAMPLE,2026-01-01,1048,174.5,4,0,4,50.0,0.936,0.185,1.93,0.1,-0.13
20260624T150558Z,2026-06-24T15:05:58.008821+00:00,multi-pair short_only,short_only,4h,XRPUSDT,IN_SAMPLE,2026-01-01,3123,520.3,5,0,5,40.0,-0.847,-0.249,0.56,-0.14,-0.14
