run_id,symbol,segment,direction,regime_label,entry_time,exit_time,bars_held,rsi14,bb_pct_b,funding_rate,fear_greed,pnl_pct,r_multiple,mfe_r,mae_r,win,exit_reason
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-08-29T11:00:00+00:00,2024-08-29T14:00:00+00:00,4,58.6,1.112,-1.644e-05,29.0,-1.31,-1.131,0.65,1.27,0,STOP_LOSS
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-09-04T16:00:00+00:00,2024-09-04T22:00:00+00:00,7,65.1,1.036,-1.47e-05,27.0,0.497,0.4,1.05,0.16,1,STOP_LOSS+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-12-24T13:00:00+00:00,2024-12-24T14:00:00+00:00,2,61.7,1.151,0.0001,73.0,-1.371,-1.125,1.53,1.21,0,STOP_LOSS
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-03-11T10:00:00+00:00,2025-03-11T16:00:00+00:00,7,59.0,1.016,3.26e-05,24.0,0.865,0.437,1.7,0.26,1,STOP_LOSS+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-08-26T21:00:00+00:00,2025-08-27T13:00:00+00:00,17,60.0,1.149,0.0001,48.0,0.352,0.369,1.17,0.74,1,STOP_LOSS+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-08-31T00:00:00+00:00,2025-08-31T13:00:00+00:00,14,60.7,1.303,8.042e-05,48.0,0.645,1.258,2.14,0.16,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-10-12T15:00:00+00:00,2025-10-12T16:00:00+00:00,2,60.3,1.082,2.865e-05,24.0,-1.459,-1.116,0.76,1.02,0,STOP_LOSS
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-10-12T16:00:00+00:00,2025-10-12T21:00:00+00:00,6,65.3,1.153,-0.00010915,24.0,-1.498,-1.113,0.57,1.0,0,STOP_LOSS
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-11-05T15:00:00+00:00,2025-11-06T16:00:00+00:00,26,58.8,1.053,2.831e-05,23.0,2.053,1.416,2.28,0.54,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_LOW,2025-11-16T09:00:00+00:00,2025-11-16T15:00:00+00:00,7,59.8,1.009,0.0001,10.0,1.133,1.353,2.8,0.01,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-11-18T16:00:00+00:00,2025-11-19T05:00:00+00:00,14,61.8,1.061,3.725e-05,11.0,2.269,1.424,2.33,0.23,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-11-23T01:00:00+00:00,2025-11-23T14:00:00+00:00,14,61.8,1.22,3.812e-05,13.0,-1.435,-1.118,0.84,1.2,0,STOP_LOSS
20260624T150558Z,BTCUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-12-16T15:00:00+00:00,2025-12-17T14:00:00+00:00,24,59.8,1.152,1.35e-05,11.0,0.53,0.405,1.54,1.48,1,STOP_LOSS+PARTIAL
20260624T150558Z,BTCUSDT,OUT_OF_SAMPLE,SHORT,DOWNTREND_HIGH,2026-02-02T15:00:00+00:00,2026-02-03T17:00:00+00:00,27,60.1,1.023,-3.043e-05,14.0,2.854,1.439,2.54,0.33,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,BTCUSDT,OUT_OF_SAMPLE,SHORT,DOWNTREND_HIGH,2026-02-06T15:00:00+00:00,2026-02-06T17:00:00+00:00,3,59.2,1.024,-0.00013688,9.0,-3.307,-1.049,0.4,1.33,0,STOP_LOSS
20260624T150558Z,BTCUSDT,OUT_OF_SAMPLE,SHORT,DOWNTREND_NORMAL,2026-02-25T01:00:00+00:00,2026-02-25T12:00:00+00:00,12,70.2,1.225,2.375e-05,11.0,0.608,0.415,1.82,0.43,1,STOP_LOSS+PARTIAL
20260624T150558Z,BTCUSDT,OUT_OF_SAMPLE,SHORT,DOWNTREND_NORMAL,2026-03-30T02:00:00+00:00,2026-03-30T08:00:00+00:00,7,60.2,1.029,3e-06,8.0,-1.262,-1.137,0.73,1.11,0,STOP_LOSS
20260624T150558Z,BTCUSDT,OUT_OF_SAMPLE,SHORT,DOWNTREND_NORMAL,2026-06-07T03:00:00+00:00,2026-06-07T08:00:00+00:00,6,59.6,1.115,-2.828e-05,12.0,-1.451,-1.117,0.36,1.57,0,STOP_LOSS
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-07-06T16:00:00+00:00,2024-07-07T14:00:00+00:00,23,64.6,1.175,5.847e-05,26.0,2.043,1.415,2.18,0.7,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-07-08T08:00:00+00:00,2024-07-08T14:00:00+00:00,7,65.7,1.067,3.423e-05,28.0,3.788,1.927,2.78,0.66,1,TAKE_PROFIT
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-07-26T04:00:00+00:00,2024-07-27T13:00:00+00:00,34,58.7,1.071,3.903e-05,68.0,-1.873,-1.089,0.59,1.31,0,STOP_LOSS
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-09-04T16:00:00+00:00,2024-09-05T06:00:00+00:00,15,65.0,1.02,5.833e-05,27.0,2.295,1.424,2.52,0.32,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2024-12-27T09:00:00+00:00,2024-12-27T15:00:00+00:00,7,59.2,1.167,8.428e-05,74.0,2.331,1.426,2.06,0.38,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-02-03T22:00:00+00:00,2025-02-04T19:00:00+00:00,22,61.4,1.049,-0.00025121,44.0,2.096,0.472,1.62,0.4,1,STOP_LOSS+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_LOW,2025-02-09T03:00:00+00:00,2025-02-09T21:00:00+00:00,19,62.0,1.236,-3.64e-06,46.0,2.124,1.418,3.96,0.51,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-02-12T17:00:00+00:00,2025-02-12T22:00:00+00:00,6,61.3,1.203,8.407e-05,46.0,-2.23,-1.074,0.46,2.21,0,STOP_LOSS
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-03-08T13:00:00+00:00,2025-03-08T19:00:00+00:00,7,59.4,1.048,3.76e-05,28.0,-2.054,-1.08,0.7,1.07,0,STOP_LOSS
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-03-10T11:00:00+00:00,2025-03-10T14:00:00+00:00,4,60.8,1.114,2.575e-05,20.0,3.261,1.447,2.73,0.23,1,TAKE_PROFIT+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-03-31T12:00:00+00:00,2025-03-31T14:00:00+00:00,3,58.3,1.116,2.663e-05,34.0,0.769,0.431,1.2,0.38,1,STOP_LOSS+PARTIAL
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_NORMAL,2025-03-31T14:00:00+00:00,2025-04-01T08:00:00+00:00,19,58.6,1.113,2.663e-05,34.0,-2.084,-1.079,0.66,1.48,0,STOP_LOSS
20260624T150558Z,ETHUSDT,IN_SAMPLE,SHORT,DOWNTREND_HIGH,2025-06-23T18:00:00+00:00,2025-06-23T20:00:00+00:00,3,60.0,1.123,1.3e-06,47.0,-2.505,-1.065,0.6,1.37,0,STOP_LOSS
